Q,A
엔조이소프트는 어떤 회사인가요?,"요식업, 식당, 카페,프랜차이즈 전문 키오스크 업체이자 멀티방(DVD/플스방), 키즈카페, 만화 카페, 북카페, 룸카페, 보드게임 카페,뷔페 코인노래방 등 다양한 분야 키오스크 전문 솔루션 기업입니다."
엔조이소프트의 주요 사업 분야는 무엇인가요?,"소프트웨어개발, 기타기계 및 장비, 기타기계 및 장비, 전자상거래업 분야입니다"
엔조이소프트는 언제 설립되었나요?,2005년 03월 21일날 설립되었습니다.
엔조이소프트의 본사는 어디에 있나요?,"경기 성남시 분당구 성남대로331번길 8 (정자동, 킨스타워) 1701호 에 위치하고 있습니다."
엔조이소프트의 대표이사는 누구인가요?,조승훈 대표입니다.
회사의 비전과 미션은 무엇인가요?,직원의 행복을 바탕으로 600만 소상공인 매장과 이를 이용하는 모든이들의 삶에 즐거운 가치를 주는 것
엔조이소프트의 연혁을 알려주세요.,"2024년 - 소다 키오스크 출시, 신규 QR 오더 출시, 2022년 - 테이블 오더 셀프요 출시, 2017년 - 노래방통합솔루션케이머신출시, 2015년 - 외식업 셀프오더무인정산 시스템아이머신출시, 2013년 - PC방 선불기계 & 통합관리솔루션조이머신출시, 2010년 - 위치기반 할인쿠폰어플조이쿠폰 출시, 2006년 - PC방 프랜차이즈 브랜드조이칸 출시"
엔조이소프트의 주요 고객은 누구인가요?,소상공인입니다.
엔조이소프트에서 제공하는 서비스는 무엇인가요?,차세대 O2O 플랫폼 서비스
엔조이소프트의 주력 제품은 무엇인가요?,"아이머신, 케이머신, 멀티머신, 조이머신"
PC방 관리 외에 다른 산업에 대한 솔루션도 제공하나요?,"네 요식업, 노래방, 룸카페 등 다양한 분야의 키오스크를 제공합니다."
엔조이소프트의 제품은 어떤 기술을 기반으로 하나요?,클라우드 기반의 기술입니다.
엔조이소프트의 제품은 글로벌 시장에서도 사용되나요?,아뇨 사용되지 않습니다.
엔조이소프트가 최근 출시한 제품은 무엇인가요?,"간편 QR 오더, 소다 키오스크입니다."
엔조이소프트 제품의 경쟁력은 무엇인가요?,"테이블 오더, 모바일 오더, QR 오더, 포스기, 키오스크 등 다양한 솔루션으로 연동에 대한 강점이 있습니다."
엔조이소프트의 제품 설치는 어떻게 이루어지나요?,영업 문의 -> 매장 정보 전달 -> 가맹점 가입 -> 매장 설치 -> 설치 후 지원
제품 구매 후 지원 서비스는 무엇인가요?,AS 및 프로그램 유지 보수를 지원합니다.
엔조이소프트는 어떤 기술을 연구하고 있나요?,"외식, 유통업 매장관리 솔루션 기술 개발"
AI 기술을 엔조이소프트에서 어떻게 활용하고 있나요?,노래방 및 엔터테인먼트 서비스업에서 사용하고 있습니다
엔조이소프트의 소프트웨어 개발 프로세스는 어떻게 되나요?,요구 분석 -> 기획 -> 설계 -> 구현 -> 테스트 -> 배포 -> 유지보수
엔조이소프트는 특허를 보유하고 있나요?,현재 등록된 특허는 10개입니다
엔조이소프트의 연구개발(R&D) 팀은 몇 명으로 구성되어 있나요?,10명입니다
새로운 기술 트렌드를 엔조이소프트는 어떻게 반영하나요?,신규 프로젝트 및 기존 프로그램 고도화에 적용하여 사용하고 있습니다.
엔조이소프트의 개발 언어와 도구는 무엇인가요?,"VB, C#, ASP, PHP, MSSQL, Javascript, Typescript 등을 사용하고 있습니다."
클라우드 기술이 엔조이소프트의 제품에 적용되나요?,네 클라우드 기술 적용으로 ASP 페이지에서 매출을 확인할 수 있습니다.
엔조이소프트의 데이터 보안 정책은 어떻게 되어 있나요?,"DB 암호화, sha256를 통한 단방향 암호화로 데이터를 저장합니다. "
오픈소스 소프트웨어를 활용하나요?,네 활용하여 사용하고 있습니다.
엔조이소프트의 고객센터 연락처는?,1544-9495 입니다.
엔조이소프트의 고객 지원 시간은 언제인가요?,9시부터 6시까지입니다.
실시간 상담 서비스는 어떻게 이용하나요?,1544-9495로 연락하거나 구매한 대리처의 번호로 연락해 주세요.
제품 설치나 기술 지원은 어떻게 받나요?,1544-9495로 연락하거나 구매한 대리처의 번호로 연락해 주세요.
고객의 피드백을 엔조이소프트에서 어떻게 처리하나요?,고객 센터로 인입된 피드백을 정리하여 개발 연구소로 전달하여 추후 개발 사항에 적용합니다.
정기 유지보수 서비스는 제공되나요?,"하드웨어의 경우 문제 발생 시 AS 처리되며, 매주 화요일날 소프트웨어 업데이트가 올라갑니다. "
원격 지원을 요청하려면 어떻게 해야 하나요?,"프로그램 자체에 내장된 원격 지원 버튼을 누르거나, 시트롤 클라이언트를 다운 받아 고객 센터로 연락해 주세요."
긴급 상황에서는 어디로 연락해야 하나요?,1544-9495로 연락하거나 구매한 대리처의 번호로 연락해 주세요.
엔조이소프트의 기업 문화는 어떤가요?,"세상에서 유일무이한 우리회사만의 뱃지시스템 제도로 
1.매월 머신토토상(월판매량예측배팅게임) 
2.매월 이달의사원상 후보4인 추천 및 대상선정 
3.매주 금주의사원상과 주간베스트상 
4.매일 오늘의사원상을 수여하는 사내 시스템 제도 

부상으로는 기프티콘,상품권 및 가전제품 등으로, 
현관,복도,회의실 등에 다수의 전광판과 사원앱으로 실시간 공유 및 입상내역 정보를 제공함. 
사원들간 업무공유 프로세스를 기반으로 칭찬,지원,격려문화"
엔조이소프트의 직원 수는 몇 명인가요?,2024년 11월 20일 기준으로 근무 중인 인원은 29명입니다.
엔조이소프트의 평균 근속 기간은 어떻게 되나요?,2~3년 입니다.
엔조이소프트에서는 어떤 인재를 채용하나요?,사내 문화에 잘 어우러질 수 있는 사람
채용 과정은 어떻게 이루어지나요?,서류 전형 -> 1차 면접 -> 2차 면접 -> 최종 입사
엔조이소프트의 복지 제도는 무엇인가요?,"1. 입사3년차부터 매년 리프레시 휴가(2025년 기준 10일)
2. 입사3년차부터 결혼시 리프레시 휴가(2025년 기준 17일)
3. 경조사 지원(결혼,출산,부모상,빙부모상,조부모상,외조부모상 등)
4. 패밀리데이(명절,가정의날,연말 등 분기별 조기퇴근)
5. 명절선물지급,카페테리아제공,자기개발지원,내일채움공제,근로자휴가지원 사업 등
6. 초역세권(분당선,신분당선 정자역 출구로 부터 100미터이내)"
사내 교육 프로그램은 어떻게 구성되어 있나요?,"매주 월요일 업무 회의로 주간 업무 공유
노션으로 업무 공유
프로젝트 진행 시 선임과 협업"
엔조이소프트에서 인턴십을 할 수 있나요?,아직은 계획에 없습니다.
엔조이소프트의 해외 진출 계획은 있나요?,아직은 계획에 없습니다.
회사의 조직 구조는 어떻게 되어 있나요?,"개발기획팀, 경영관리팀, 기술연구소 로 나뉘어져 있습니다."
회사 블로그나 뉴스레터를 제공하나요?,https://blog.naver.com/enjoysoft1 에서 제공하고 있습니다.
엔조이소프트의 언론 보도는 어디에서 확인할 수 있나요?,https://www.enjoysoft.net/#sg05 에서 확인할 수 있습니다.
소셜 미디어에서 엔조이소프트를 팔로우하려면?,카카오톡 채널 -> 엔조이소프트 검색 후 채널 추가
홍보 영상을 볼 수 있는 곳은 어디인가요?,유튜브 -> 엔조이소프트_ 통합 키오스크 솔루션 채널을 검색해 주세요.
회사에서 주최하는 이벤트는 있나요?,아직은 계획에 없습니다.
엔조이소프트는 어떤 박람회에 참가하나요?,"산업 박람회, 창업 박람회 등에 참가합니다"
파트너십을 맺고 있는 기업은 어디인가요?,NHN과 클라우드 업무 협약을 맺고 있습니다.
